Código;Procedimento 
208010033;CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE REPOUSO (MINIMO 3 PROJECOES)
208010041;CINTILOGRAFIA DE MIOCARDIO P/ LOCALIZACAO DE NECROSE (MINIMO 3 PROJECOES )
208010050;CINTILOGRAFIA P/ AVALIACAO DE FLUXO SANGUINEO DE EXTREMIDADES
208010068;CINTILOGRAFIA P/ QUANTIFICACAO DE SHUNT EXTRACARDIACO
208010084;CINTILOGRAFIA SINCRONIZADA DE CAMARAS CARDIACAS EM SITUACAO DE REPOUSO (VENTRICULOGRAFIA)
208020020;CINTILOGRAFIA DE FIGADO E VIAS BILIARES
208020080;CINTILOGRAFIA P/ PESQUISA DE DIVERTICULOSE DE MECKEL
208030018;CINTILOGRAFIA DE PARATIREOIDES
208030034;CINTILOGRAFIA DE TIREOIDE C/ TESTE DE SUPRESSAO / ESTIMULO
208030042;CINTILOGRAFIA P/ PESQUISA DO CORPO INTEIRO
208040021;CINTILOGRAFIA DE RIM C/ GALIO 67
208040056;CINTILOGRAFIA RENAL/RENOGRAMA (QUALITATIVA E/OU QUANTITATIVA)
208040080;DETERMINACAO DE FILTRACAO GLOMERULAR
208040102;ESTUDO RENAL DINAMICO C/ OU S/ DIURETICO
208050019;CINTILOGRAFIA DE ARTICULACOES E/OU EXTREMIDADES E/OU OSSO
208050035;CINTILOGRAFIA DE OSSOS C/ OU S/ FLUXO SANGUINEO (CORPO INTEIRO)
208050043;CINTILOGRAFIA DE SEGMENTO OSSEO C/ GALIO 67
208060014;CINTILOGRAFIA DE PERFUSAO CEREBRAL C/ TALIO (SPCTO)
208060022;CISTERNOCINTILOGRAFIA (INCLUINDO PESQUISA E/OU AVALIACAO DO TRANSITO LIQUORICO)
208070010;CINTILOGRAFIA DE PULMAO C/ GALIO 67
208070036;CINTILOGRAFIA DE PULMAO POR INALACAO (MINIMO 2 PROJECOES)
208070044;CINTILOGRAFIA DE PULMAO POR PERFUSAO (MINIMO 4 PROJECOES)
208080040;LINFOCINTILOGRAFIA
208090010;CINTILOGRAFIA DE CORPO INTEIRO C/ GALIO 67 P/ PESQUISA DE NEOPLASIAS
208090037;CINTILOGRAFIA DE MAMA (BILATERAL)
209010010;COLANGIOPANCREATOGRAFIA RETROGRADA (VIA ENDOSCOPICA)
209010029;COLONOSCOPIA (COLOSCOPIA)
209010037;ESOFAGOGASTRODUODENOSCOPIA
209010045;LAPAROSCOPIA
209010053;RETOSSIGMOIDOSCOPIA
209010061;VIDEOLAPAROSCOPIA
209020016;CISTOSCOPIA E/OU URETEROSCOPIA E/OU URETROSCOPIA
209040017;BRONCOSCOPIA (BRONCOFIBROSCOPIA)
209040033;TRAQUEOSCOPIA
209040050;VIDEOTORACOSCOPIA
210010010;ANGIOGRAFIA CEREBRAL (4 VASOS)
210010045;AORTOGRAFIA ABDOMINAL
210010053;AORTOGRAFIA TORACICA
210010061;ARTERIOGRAFIA CERVICO-TORACICA
210010070;ARTERIOGRAFIA DE MEMBRO 
210010096;ARTERIOGRAFIA P/ INVESTIGACAO DE DOENCA ARTERIOSCLEROTICA AORTO-ILIACA E DISTAL
210010100;ARTERIOGRAFIA P/ INVESTIGACAO DE HEMORRAGIA CEREBRAL
210010118;ARTERIOGRAFIA P/ INVESTIGACAO DE ISQUEMIA CEREBRAL
210010126;ARTERIOGRAFIA PELVICA
210010134;ARTERIOGRAFIA SELETIVA DE CAROTIDA
210010142;ARTERIOGRAFIA SELETIVA POR CATETER (POR VASO)
210010150;ARTERIOGRAFIA SELETIVA VERTEBRAL
210010169;ESPLENOPORTOGRAFIA
210010193;LINFANGIOADENOGRAFIA
210020016;COLANGIOGRAFIA TRANSCUTANEA
211020010;CATETERISMO CARDIACO
211020028;CATETERISMO CARDIACO EM PEDIATRIA
211030015;AVALIACAO CINEMATICA E DE PARAMETROS LINEARES
211030023;AVALIACAO CINETICA, CINEMATICA E DE PARAMETROS LINEARES
211030031;AVALIACAO DE EQUILIBRIO ESTATICO EM PLACA DE FORCA
211030066;AVALIACAO DE MOVIMENTO (POR IMAGEM)
211030074;AVALIACAO FUNCIONAL MUSCULAR
211030082;ELETRODIAGNOSTICO CINETICO FUNCIONAL
211030090;ELETROMIOGRAFIA DINAMICA, AVALIACAO CINETICA, CINEMATICA E DE PARAMETROS LINEARES
211050091;EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE
211050105;POLISSONOGRAFIA
211060259;TONOMETRIA
212010026;EXAMES PRE-TRANSFUSIONAIS I
212010034;EXAMES PRE-TRANSFUSIONAIS II
214010040;TESTE RAPIDO PARA DETECCAO DE HIV EM GESTANTE
214010058;TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV
301010145;PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-NASCIDO
301050074;INTERNACAO DOMICILIAR  
301060010;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA  EM CLINICA PEDIATRICA
301060070;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA
301060088;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA
301090017;ATENDIMENTO EM GERIATRIA (1 TURNO)
302010017;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ/PÓS CIRURGIAS UROGINECOLÓGICAS
302010025;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES C/ DISFUNÇÕES UROGINECOLÓGICAS
302020012;ATENDIMENTO FISIOTERAPÊUTICO DE PACIENTE COM CUIDADOS PALIATIVOS
302020020;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE ONCOLÓGICO CLÍNICO
302020039;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE NO PRÉ E PÓS CIRURGIA ONCOLÓGICA
302030018;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES COM ALTERAÇÕES OCULOMOTORAS CENTRAIS C/ COMPROMETIMENTO SISTÊMICO
302030026;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM ALTERAÇÕES OCULOMOTORAS PERIFÉRICAS
302040013;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE C/ TRANSTORNO RESPIRATÓRIO C/ COMPLICAÇÕES SISTÊMICAS
302040021;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE C/ TRANSTORNO RESPIRATÓRIO S/ COMPLICAÇÕES SISTÊMICAS
302040030;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE COM TRANSTORNO CLÍNICO CARDIOVASCULAR
302040048;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE PRÉ/PÓS CIRURGIA CARDIOVASCULAR
302040056;ATENDIMENTO FISIOTERAPÊUTICO NAS DISFUNÇÕES VASCULARES PERIFÉRICAS
302050019;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES NO PRÉ E PÓS-OPERATÓRIO NAS DISFUNÇÕES MÚSCULO ESQUELÉTICAS
302050035;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES NO PRÉ E PÓS-OPERATÓRIO NAS DISFUNÇÕES MUSCULO- ESQUELETICAS C/ COMPLICAÇÕES SISTEMICAS
302060014;ATENDIMENTO FISIOTERAPÊUTICO  EM PACIENTE C/ DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS S/ COMPLICAÇÕES SISTÊMICAS
302060022;ATENDIMENTO FISIOTERAPÊUTICO  EM PACIENTES C/ DISTÚRBIOS NEURO-CINÉTICO-FUNCIONAIS C/COMPLICAÇÕES SISTÊMICAS
302060030;ATENDIMENTO FISIOTERAPÊUTICO NAS DESORDENS DO DESENVOLVIMENTO NEURO MOTOR
302060057;ATENDIMENTO FISIOTERAPÊUTICO  EM PACIENTE NO PRÉ/PÓS-OPERATÓRIO  DE NEUROCIRURGIA
302070010;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE MÉDIO QUEIMADO
302070028;ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE GRANDE QUEIMADO
303010010;TRATAMENTO DE DENGUE CLÁSSICA
303010029;TRATAMENTO DE DENGUE HEMORRÁGICA
303010037;TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
303010045;TRATAMENTO DE DOENÇAS BACTERIANAS ZOONÓTICAS
303010053;TRATAMENTO DE OUTRAS DOENÇAS DEVIDAS A PROTOZOÁRIOS (B55 a B64)
303010061;TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS
303010070;TRATAMENTO DE FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS
303010088;TRATAMENTO DE HANSENÍASE
303010100;TRATAMENTO DE HELMINTÍASES (B65 a B83)
303010118;TRATAMENTO DE HEPATITES VIRAIS
303010126;TRATAMENTO DE INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL (A50 A A64)
303010134;TRATAMENTO DE INFECÇÕES VIRAIS CARACTERIZADAS POR LESÕES DE PELE E MUCOSAS (B00 A B09)
303010142;TRATAMENTO DE INFECÇÕES VIRAIS DO SISTEMA NERVOSO CENTRAL
303010150;TRATAMENTO DE MALÁRIA
303010169;TRATAMENTO DE MICOSES (B35 A B49)
303010193;TRATAMENTO DE OUTRAS DOENÇAS CAUSADAS POR VÍRUS (B25 A B34)
303010215;TRATAMENTO DE TUBERCULOSE (A15 a A19)
303020032;TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS
303020040;TRATAMENTO DE ANEMIA HEMOLITICA
303020059;TRATAMENTO DE ANEMIAS NUTRICIONAIS
303020067;TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS
303020075;TRATAMENTO DE HEMOFILIAS
303020083;TRATAMENTO DE OUTRAS DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOETICOS
303030011;TRATAMENTO DA FIBROSE CISTICA 
303030020;TRATAMENTO DE DESNUTRICAO
303030038;TRATAMENTO DE DIABETES MELLITUS
303030046;TRATAMENTO DE DISTURBIOS METABOLICOS
303030054;TRATAMENTO DE TRANSTORNOS DA GLANDULA TIREOIDE
303030062;TRATAMENTO DE TRANSTORNOS DE OUTRAS GLANDULAS ENDOCRINAS
303040017;AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS
303040025;INTERNACAO P/ O TRATAMENTO MEDICAMENTOSO DA OSTEOGENESIS IMPERFECTA
303040033;TRATAMENTO  DA MIGRANEA COMPLICADA
303040041;TRATAMENTO  CLINICO DE ABCESSO CEREBRAL
303040050;TRATAMENTO  CLINICO DE COREIA AGUDA
303040068;TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA
303040076;TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL
303040084;TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE)
303040092;TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU MEDIO)
303040106;TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO GRAVE
303040114;TRATAMENTO CONSERVADOR DE TRAUMATISMO RAQUIMEDULAR
303040122;TRATAMENTO CONSERVADOR DE TUMOR  DO SISTEMA NERVOSO CENTRAL
303040130;TRATAMENTO CLINICO DAS MIELITES / MIELOPATIAS
303040149;TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO  OU HEMORRAGICO AGUDO)
303040157;TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA
303040165;TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS
303040173;TRATAMENTO DE DISTROFIAS MUSCULARES
303040181;TRATAMENTO DE DOENCA DE PARKINSON
303040190;TRATAMENTO DE DOENCA DOS NEURONIOS MOTORES CENTRAIS C/ OU S/ AMIOTROFIAS
303040203;TRATAMENTO DE DOENCAS NEURO-DEGENERATIVAS
303040211;TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA
303040220;TRATAMENTO DE ESCLEROSE GENERALIZADA PROGRESSIVA
303040238;TRATAMENTO DE FRATURA DA COLUNA VERTEBRAL C/ LESAO DA MEDULA ESPINHAL
303040246;TRATAMENTO DE INTERCORRENCIAS DE DOENCAS NEUROMUSCULARES
303040254;TRATAMENTO DE MIASTENIA GRAVE
303040262;TRATAMENTO DE POLINEUROPATIAS
303040270;TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA
303040289;TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA
303040297;TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL
303050136;TRATAMENTO CLÍNICO DE INTERCORRÊNCIAS OFTALMOLÓGICAS
303050144;TRATAMENTO CLÍNICO DE INTERCORRÊNCIAS OFTALMOLÓGICAS DE ORIGEM INFECCIOSA
303060018;TRATAMENTO DE ANEURISMA DA AORTA
303060026;TRATAMENTO DE ARRITMIAS
303060034;TRATAMENTO DE CARDIOPATIA HIPERTROFICA
303060042;TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA
303060050;TRATAMENTO DE CHOQUE ANAFILATICO
303060069;TRATAMENTO DE CHOQUE CARDIOGENICO
303060077;TRATAMENTO DE CHOQUE HIPOVOLEMICO 
303060085;TRATAMENTO DE COMPLICACOES CARDIACAS POS-CIRURGIA
303060107;TRATAMENTO DE CRISE HIPERTENSIVA
303060115;TRATAMENTO DE DOENCA REUMATICA C/ COMPROMETIMENTO CARDIACO
303060123;TRATAMENTO DE DOENCA REUMATICA S/ CARDITE
303060131;TRATAMENTO DE EDEMA AGUDO DE PULMAO
303060140;TRATAMENTO DE EMBOLIA PULMONAR
303060158;TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR
303060166;TRATAMENTO DE ENDOCARDITE INFECCIOSA EM VALVULA NATIVA
303060174;TRATAMENTO DE HIPERTENSAO PULMONAR
303060182;TRATAMENTO DE HIPERTENSAO SECUNDARIA
303060190;TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO
303060204;TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA
303060212;TRATAMENTO DE INSUFICIENCIA CARDIACA
303060220;TRATAMENTO DE LINFADENITES INESPECIFICAS
303060239;TRATAMENTO DE MIOCARDIOPATIAS
303060247;TRATAMENTO DE OUTRAS VASCULOPATIAS
303060255;TRATAMENTO DE PARADA CARDIACA C/ RESSUSCITACAO
303060263;TRATAMENTO DE PE DIABETICO COMPLICADO
303060271;TRATAMENTO DE PERICARDITE
303060280;TRATAMENTO DE SINDROME CORONARIANA AGUDA
303060298;TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
303060301;TRATAMENTO DE VARIZES DOS MEMBROS INFERIORES C/ ULCERA
303070021;HEMOPERFUSAO
303070064;TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E  DUODENO
303070072;TRATAMENTO DE DOENCAS DO FIGADO
303070080;TRATAMENTO DE DOENCAS DO PERITONIO
303070099;TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS
303070102;TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO
303070110;TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO
303070129;TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E  PANCREAS
303080043;TRATAMENTO DE AFECCOES BOLHOSAS
303080051;TRATAMENTO DE DERMATITES E ECZEMAS
303080060;TRATAMENTO DE ESTAFILOCOCCIAS
303080078;TRATAMENTO DE ESTREPTOCOCCIAS
303080086;TRATAMENTO DE FARMACODERMIAS
303080094;TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO
303090049;INSTALACAO DE TRACAO CUTANEA
303090138;TRATAMENTO CONSERVADOR DE FRATURA / LESAO LIGAMENTAR / ARRANCAMENTO OSSEO AO NIVEL DA PELVE
303090197;TRATAMENTO CONSERVADOR DE FRATURA DOS ANEIS PELVICOS
303090235;TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA C/ ORTESE
303090316;TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS
303100010;TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO
303100028;TRATAMENTO DE ECLAMPSIA
303100036;TRATAMENTO DE EDEMA, PROTEINURIA E TRANSTORNOS HIPERTENSIVOS NA GRAVIDEZ PARTO E PUERPERIO
303100044;TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ
303100052;TRATAMENTO DE MOLA HIDATIFORME
303110015;TRATAMENTO DAS MALFORMACOES E DEFORMIDADES CONGENITAS DO SISTEMA OSTEOMUSCULAR
303110023;TRATAMENTO DE ANOMALIAS CROMOSSOMICAS NAO CLASSIFICADAS EM OUTRA PARTE
303110031;TRATAMENTO DE ESPINHA BIFIDA
303110040;TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO
303110058;TRATAMENTO DE FENDA LABIAL E/OU FENDA PALATINA
303110066;TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO URINARIO
303110082;TRATAMENTO DE NEUROFIBROMATOSE
303110090;TRATAMENTO DE OUTRAS ANOMALIAS CONGENITAS DO SISTEMA NERVOSO
303110104;TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS
303110112;TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS DO APARELHO DIGESTIVO
303130016;ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS 
303130024;ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES 
303130032;ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES PNEUMOLOGICAS 
303130040;TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES DECORRENTES DA AIDS 
303130059;TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES NEUROLOGICAS 
303130067;TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES ONCOLOGICAS 
303130075;TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNTIVO 
303130083;TRATAMENTO DE PACIENTES SOB CUIDADOS PROLONGADOS EM HANSENIASE 
303140020;TRATAMENTO DA FIBROSE CISTICA COM MANIFESTACOES PULMONARES
303140038;TRATAMENTO DAS AFECCOES NECROTICAS E SUPURATIVAS DAS VIAS AEREAS INFERIORES
303140046;TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES
303140062;TRATAMENTO DE CARDIOPATIA PULMONAR NAO ESPECIFICADA (COR PULMONALE)
303140070;TRATAMENTO DE DOENCA DO OUVIDO EXTERNO MEDIO E DA MASTOIDE
303140089;TRATAMENTO DE DOENCAS RESPIRATORIAS QUE AFETAM PRINCIPALMENTE O INTERSTICIO
303140097;TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS
303140100;TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES
303140119;TRATAMENTO DE OUTRAS DOENCAS DA PLEURA
303140127;TRATAMENTO DE OUTRAS DOENCAS DAS VIAS AEREAS SUPERIORES
303140135;TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
303140143;TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES
303140151;TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)
303150017;TRATAMENTO DE DOENCAS DOS ORGAOS GENITAIS MASCULINOS
303150025;TRATAMENTO DE DOENCAS GLOMERULARES
303150033;TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS
303150041;TRATAMENTO DE DOENCAS RENAIS TUBULO-INTERSTICIAIS
303150050;TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO
303150068;TRATAMENTO DE OUTROS TRANSTORNOS DO RIM E DO URETER
303160020;TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL
303160039;TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL
303170018;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM PSIQUIATRIA
303170026;TRATAMENTO DA INTOXICACAO AGUDA  EM USUARIOS DE ALCOOL E OUTRAS DROGAS
303170034;TRATAMENTO DA SINDROME DE ABSTINENCIA DO ALCOOL EM SERVICO HOSPITALAR DE REFERENCIA PARA A ATENCAO INTEGRAL AOS USUARIOS DE ALCOOL EM OUTRAS DROGAS (POR DIA)
303170050;TRATAMENTO DE SINDROME DE ABSTINENCIA POR USO PREJUDICIAL DE ALCOOL E DROGAS
303170069;TRATAMENTO DE TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SUBSTANCIAS PSICOATIVAS 
303170085;TRATAMENTO EM PSIQUIATRIA  - EM HOSPITAL GERAL (POR DIA)
303170093;TRATAMENTO EM PSIQUIATRIA  (POR DIA)
